feature,importance
int_rate,0.1134330538446033
dti,0.10265410608616349
revol_bal,0.07261425692353536
utilization_ratio,0.0692185265813342
loan_amnt,0.06914626613378763
annual_inc,0.06861831762414407
revol_util,0.06836637532881888
loan_to_income,0.06772468440251186
grade_encoded,0.05995038176070837
credit_length,0.04879275360911798
total_acc,0.04766926027049252
open_acc,0.046215292065744165
emp_length,0.04152775253659559
purpose_encoded,0.032011091313618116
inq_last_6mths,0.025106169356905933
delinq_2yrs,0.020443332343647206
home_ownership_encoded,0.017150348870776995
pub_rec,0.010420041030298612
term,0.010358593099662571
application_type_encoded,0.008579396817533322
